Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  1    0.65      7.70      -1      0     0.65      0.00      8.36      7.70
  2    1.49      10.95      -1      1     1.49      0.00      12.44      10.95
  3    4.61      8.79      -1      2     4.61      0.00      13.39      8.79
  4    7.11      14.06      0      0     8.36      1.25      22.42      15.31
  5    10.82      5.62      0      1     12.44      1.62      18.06      7.24
  6    12.90      5.21      0      2     13.39      0.49      18.61      5.70
  7    13.06      2.51      0      1     18.06      5.00      20.57      7.51
  8    14.64      12.42      0      2     18.61      3.97      31.02      16.39
  9    15.90      5.44      0      1     20.57      4.67      26.01      10.11
  10    16.06      3.26      0      0     22.42      6.36      25.68      9.62
  11    18.20      5.34      0      0     25.68      7.48      31.02      12.82
  12    19.86      10.74      0      1     26.01      6.15      36.75      16.89
  13    19.91      10.36      0      0     31.02      11.11      41.38      21.46
  14    20.59      0.51      0      2     31.02      10.44      31.54      10.95
  15    21.77      16.89      0      2     31.54      9.76      48.42      26.65
  16    21.83      13.13      0      1     36.75      14.91      49.87      28.04
  17    23.93      23.92      0      0     41.38      17.44      65.30      41.37
  18    23.98      8.47      0      2     48.42      24.45      56.89      32.92
  19    24.93      8.92      0      1     49.87      24.95      58.79      33.86
  20    27.31      13.22      0      2     56.89      29.58      70.11      42.80
  21    30.16      13.78      0      1     58.79      28.63      72.57      42.41
  22    32.66      16.43      0      0     65.30      32.64      81.73      49.07
  23    34.92      5.11      0      2     70.11      35.19      75.22      40.30
  24    35.37      6.72      0      1     72.57      37.20      79.29      43.91
  25    36.52      4.41      0      2     75.22      38.70      79.63      43.11
  26    37.25      4.49      0      1     79.29      42.04      83.77      46.53
  28    42.37      7.55      0      2     79.63      37.26      87.18      44.81
  34    50.51      11.40      0      0     81.73      31.22      93.13      42.62
  35    51.08      2.84      0      1     83.77      32.69      86.62      35.54
  39    58.21      15.91      0      1     86.62      28.41      102.53      44.32
  40    60.59      16.54      0      2     87.18      26.59      103.72      43.13
  43    68.65      12.62      0      0     93.13      24.47      105.74      37.09
  44    70.58      11.75      0      1     102.53      31.96      114.28      43.71
  47    73.79      0.74      0      2     103.72      29.93      104.46      30.67
  48    75.84      9.15      0      2     104.46      28.62      113.61      37.77
  50    81.95      2.52      0      0     105.74      23.79      108.26      26.31
  51    82.12      8.85      0      0     108.26      26.14      117.11      34.99
  52    92.54      2.87      0      2     113.61      21.07      116.48      23.94
  53    93.48      2.37      0      1     114.28      20.80      116.65      23.17
