Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  1    0.65      7.70      -1      0     0.65      0.00      8.36      7.70
  2    1.49      10.95      -1      1     1.49      0.00      12.44      10.95
  3    4.61      8.79      -1      2     4.61      0.00      13.39      8.79
  4    7.11      14.06      -1      3     7.11      0.00      21.17      14.06
  5    10.82      5.62      -1      0     10.82      0.00      16.44      5.62
  6    12.90      5.21      -1      1     12.90      0.00      18.11      5.21
  7    13.06      2.51      0      2     13.39      0.33      15.91      2.85
  8    14.64      12.42      0      2     15.91      1.27      28.33      13.69
  9    15.90      5.44      0      0     16.44      0.54      21.88      5.98
  10    16.06      3.26      0      1     18.11      2.05      21.37      5.31
  11    18.20      5.34      0      3     21.17      2.97      26.52      8.32
  12    19.86      10.74      0      1     21.37      1.51      32.11      12.25
  13    19.91      10.36      0      0     21.88      1.97      32.24      12.32
  14    20.59      0.51      0      3     26.52      5.93      27.03      6.44
  15    21.77      16.89      0      3     27.03      5.26      43.92      22.14
  16    21.83      13.13      0      2     28.33      6.49      41.45      19.62
  17    23.93      23.92      0      1     32.11      8.17      56.03      32.10
  18    23.98      8.47      0      0     32.24      8.26      40.70      16.73
  19    24.93      8.92      0      0     40.70      15.77      49.62      24.69
  20    27.31      13.22      0      2     41.45      14.14      54.67      27.36
  21    30.16      13.78      0      3     43.92      13.76      57.70      27.54
  22    32.66      16.43      0      0     49.62      16.96      66.05      33.39
  23    34.92      5.11      0      2     54.67      19.75      59.78      24.86
  24    35.37      6.72      0      1     56.03      20.65      62.74      27.37
  25    36.52      4.41      0      3     57.70      21.17      62.11      25.59
  26    37.25      4.49      0      2     59.78      22.54      64.27      27.02
  27    38.67      0.71      0      3     62.11      23.44      62.82      24.15
  28    42.37      7.55      0      1     62.74      20.37      70.30      27.92
  29    46.41      32.38      0      3     62.82      16.41      95.20      48.79
  30    47.09      5.01      0      2     64.27      17.18      69.28      22.19
  31    47.30      13.26      0      0     66.05      18.75      79.31      32.00
  34    50.51      11.40      0      2     69.28      18.78      80.68      30.17
  39    58.21      15.91      0      1     70.30      12.09      86.21      28.00
  40    60.59      16.54      0      0     79.31      18.72      95.84      35.25
  41    64.17      3.83      0      2     80.68      16.50      84.51      20.33
  42    64.80      16.99      0      2     84.51      19.71      101.49      36.70
  43    68.65      12.62      0      1     86.21      17.55      98.82      30.17
  44    70.58      11.75      0      3     95.20      24.63      106.96      36.38
  45    71.12      3.07      0      0     95.84      24.72      98.92      27.80
